Атлет(ы);Вид спорта;Дисциплина;Место;Год
Александр Герлиц;Лыжные гонки;"спринт, свободным стилем, стоя
10 км, стоя ";"5
5";2022
Денис Петренко;Лыжные гонки;"спринт, сидя
7,5 км, сидя
18 км, сидя";"32(квалификация)
26
25";2022
Сергей Усольцев;Лыжные гонки;"спринт, сидя
7,5 км, сидя";"34(квалификация)
22";2022
 Ербол Хамитов;Лыжные гонки;"спринт сидя
7,5 км, сидя
18 км, сидя";"15(квалификация)
9
7";2022
 Ерасыл Абдибек;Волейбол сидя;;5;2024
 Ерболат Алтаев;Волейбол сидя;;5;2024
Ерлан Битемиров;Волейбол сидя;;5;2024
Берик Измаганбетов;Волейбол сидя;;5;2024
 Эрик Каскабаев;Волейбол сидя;;5;2024
Шынгыс Медеуов;Волейбол сидя;;5;2024
Нуртау Муканбеткалиев;Волейбол сидя;;5;2024
Пердебай Намуратов;Волейбол сидя;;5;2024
Бауржан Сартаев;Волейбол сидя;;5;2024
 Жангали Суйеуов;Волейбол сидя;;5;2024
Куаныш Тажиков;Волейбол сидя;;5;2024
Акылбек Шикибаев;Волейбол сидя;;5;2024
 Бауыржан Арстанбеков;Дзюдо;до 90 кг, J1;9;2024
Галымжан Смагулулы;Дзюдо;до 90 кг, J2;9;2024
Ерлан Утепов;Дзюдо;свыше 90кг, J1;7;2024
Ергали Шамей;Дзюдо;до 73 кг, J1;2;2024
Журкамырза Шукурбеков;Дзюдо;свыше 90 кг, J2;3;2024
Аяла Мереке;Дзюдо;до 70 кг, J2;5;2024
Акмарал Науатбек;Дзюдо;до 48 кг, J2;1;2024
Зарина Райфова;Дзюдо;свыше 70 кг, J2;3;2024
 Альфия Тлеккабыл;Дзюдо;до 57 кг, J1;7;2024
Даяна Федосова;Дзюдо;до 57 кг, J2;3;2024
 Жоламан Еламан;Легкая атлетика;ядро, F35;7;2024
Дастан Мукашбеков;Легкая атлетика;ядро, F36;3;2024
Салтанат Абилхасымкызы;Легкая атлетика;100 м, T35;9;2024
Гульбахыт Кайыржанова;Легкая атлетика;копьё, F13;5;2024
 Али Махулбеков;Настольный Теннис;класс 8 ;-;2024
Бибарыс Спатай;Параканоэ;каяк-одиночка, 200 м, KL2;11;2024
Жаныл Балтабаева;Параканоэ;ва’а-одиночка, 200 м, VL3;10;2024
Давид Дегтярёв;Пауэрлифтинг;до 54 кг;1;2024
Рахметжан Хамаев;Пауэрлифтинг;до 59 кг;7;2024
 Станислав Шакиев;Пауэрлифтинг;до 88 кг;6;2024
Турсынай Кабыл;Пауэрлифтинг;до 45 кг;6;2024
Раушан Койшибаева;Пауэрлифтинг;до 73 кг;4;2024
Сиязбек Далиев;Плавание;"50 м на спине, S5	
50 м баттерфляем, S5";"10(квалификация)
7";2024
Нурдаулет Жумагали;Плавание;"100 м брассом, SB13	
 200 м комплекс, SM13";"2
10(квалификация)";2024
Амир Муратбеков;Плавание;100 м брассом, SB11;DSQ;2024
Зульфия Габидулина;Плавание;"50 м вольным стилем, S4	
50 м брассом, S4	
 150 м комплекс, SM4";"7
10(квалификация)
10(квалификация)";2024
Еркин Габбасов;Стрельба;" пневматическая винтовка, 10 м стоя, SH1	
Смешанный, пневматическая винтовка, 10 м лёжа, SH1";"2
35(квалификация)";2024
;Стрельба;пневматический пистолет, 10 м, SH1;12(квалификация);2024
Нурлан Домбаев;Тхэквондо;до 80 кг;5;2024
 Нышан Омирали;Тхэквондо;свыше 80кг;5;2024
Камиля Досмалова;Тхэквондо;до 52 кг;7;2024
Милана Красавцева;Тхэквондо;до 57 кг;5;2024
